hash_id,id,hn,sample_collection_date,date_of_submission,sex,species,submitted_sample,collect_method,vitek_id,bact_species,bact_genus,vet_read,vet_recommend,report_issued_date,filename,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,amikacin,amoxicillin/clavulanic acid,azithromycin,cefalexin,cefazolin,cefixime,cefovecin,cefpodoxime,ceftriaxone,chloramphenicol,clindamycin,doxycycline,enrofloxacin,fluconazole,fosfomycin,gentamicin,imipenem,marbofloxacin,metronidazole,minocycline,nitrofurantoin,piperacillin/tazobactam,polymyxin b,pradofloxacin,rifampicin,tetracycline,trimethoprim/sulfamethoxazole,vancomycin
719457971171579157,GN_2949,6208339,2020-10-21,2020-10-21,female,dog,urine,cystocentesis,GN,proteus mirabilis,proteus,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-10-28,6208339_28.10.2020_GN_2020.docx,S,I,R,R,R,R,R,R,R,R,R,,R,S,R,R,R,,,R,,R,,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5830033795989923601,GN_3103,6310499,2020-08-31,2020-08-31,male,cat,chronic wound,unknown,GN,serratia marcescens,serratia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-09-08,6310499_08.09.2020_GN_2020.docx,S,R,,R,R,S,,S,S,S,S,,S,,S,S,R,,,S,,R,,S,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-5046537484535542983,GN_964,6103486,2018-03-04,2018-03-04,female,dog,purulent,unknown,GN,pseudomonas aeruginosa,pseudomonas,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-03-08,6103486_08.03.2018_GN.docx,I,R,R,R,,R,R,R,R,,I,,R,S,S,,R,S,S,,,R,S,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5463845302458402242,GN_1646,5900252,2019-01-15,2019-01-15,male,dog,urine,catheterization,GN,proteus mirabilis,proteus,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-01-23,5900252_23.01.2019_GN.docx,S,R,R,R,,R,R,R,R,,R,,S,,R,,R,R,,,,R,S,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-7405635887014403240,GN_145,5913836,2016-09-21,2016-09-21,male,cat,abscess,unknown,GN,salmonella group,salmonella,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2016-09-27,5913836_27.09.2016_GN.docx,S,S,S,S,,S,S,S,S,,S,,S,S,S,,S,S,,,,S,S,S,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-849373676316264362,GN_1144,รพส. สวนหลวงสัตวแพทย์,2018-06-11,2018-06-12,male,dog,urine,catheterization,GN,pseudomonas aeruginosa,pseudomonas,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-06-15,รพส.สวนหลวงสัตวแพทย์_15.06.2018_GN.docx,S,,,,,,,,,,R,,R,S,R,,,R,,,,,S,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-645382234792983372,GN_1504,6116058,2018-12-17,2018-12-17,male,dog,exudate,unknown,GN,pseudomonas aeruginosa,pseudomonas,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-12-21,6116058_21.12.2018_GN.docx,R,,,,,,,,,,S,,R,S,S,,,S,,,,,S,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8104723721066701015,GN_905,6101581,2018-02-01,2018-02-01,female,dog,urine,unknown,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-02-09,6101581_09.02.2018_GN.docx,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-457593059110404937,GN_1812,6110538,2019-01-21,2019-01-21,male,dog,pg abscess,unknown,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-01-28,6110538_28.01.2019_GN.docx,S,S,R,R,,S,S,S,R,,I,-,S,S,S,,S,R,,,,S,S,S,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
8381121081362398854,GN_2753,5812187,2020-05-13,2020-05-13,female,dog,urine,cystocentesis,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-05-21,5812187_21.05.2020_GN_2020.docx,R,R,R,R,R,R,R,R,R,R,R,+,R,S,R,S,S,,,R,,R,,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
-5541180747187661956,GN_579,6006986,2017-10-12,2017-10-12,male,dog,nasal cavity,unknown,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-10-19,6006986_19.10.2017_GN_Lt.nasal cavity.docx,S,R,R,R,,R,R,R,I,,R,+,R,S,R,,S,R,,,,R,S,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6955662861787788813,GN_2997,6303709,2021-03-29,2021-03-29,female,cat,urine,catheterization,GN,acinetobacter baumannii,acinetobacter,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2021-04-01,6303709_01.04.2021_GN_2021.docx,,,,,,R,,R,,S,S,,S,S,S,,,,,,,R,,S,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-2672357379982106399,GN_153,5914520,2016-10-02,2016-10-02,male,dog,pus,unknown,GN,citrobacter koseri,citrobacter,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2016-10-10,5914520_10.10.2016_GN.docx,S,S,,S,,S,S,S,S,,S,,S,S,S,,S,R,,,,S,S,S,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
362710975214699742,GN_3309,VCC (ทูน่า),2020-10-22,2020-10-22,male,cat,urine,unknown,GN,pseudomonas aeruginosa,pseudomonas,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-10-28,VCC (ทูน่า)_28.10.2020_GN_2020.docx,S,,,,,,,,,,R,,R,S,R,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3003432633532522571,GN_2402,รพส.ทองหล่อ พระราม 9 (เสน่หา),2019-03-22,2019-03-26,unknown,dog,swab,unknown,GN,vibrio fluvialis,vibrio,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-03-29,รพส.ทองหล่อ พระราม 9 (เสน่หา)_29.03.2019_GN.docx,S,S,I,,,,,,S,,S,,S,I,S,,,S,,,,S,,S,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-652916836515249998,GN_1937,6202552,2019-02-24,2019-02-24,female,dog,abdominal fluid,unknown,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-03-01,6202552_01.03.2019_GN.docx,S,R,R,R,,S,S,S,S,,S,-,S,S,S,,I,S,,,,S,S,S,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-5695305678323785478,GN_19,5501579,2016-10-01,2016-10-01,female,dog,fluid,unknown,GN,aeromonas hydrophila,aeromonas,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2016-10-06,5501579(2)_06.10.2016_GN.docx,S,I,R,R,,S,S,S,S,,S,,S,S,S,,S,S,,,,,S,S,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
17685349632172327,GN_2858,5917780,2020-12-03,2020-12-03,male,dog,urine,catheterization,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-12-08,5917780_08.12.2020_GN_2020.docx,I,R,R,R,R,R,R,R,R,R,R,+,R,S,R,S,I,,,R,,R,,S,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
6651836138552248354,GN_3165,6313007,2020-12-28,2020-12-28,female,dog,urine,catheterization,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-12-30,6313007_30.12.2020_GN_2020.docx,S,S,R,S,S,S,S,S,S,R,R,-,R,S,R,S,S,,,R,,R,,S,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-8973763952304641287,GN_220,5919683,2016-12-21,2016-12-21,female,dog,other,unknown,GN,burkholderia cepacia group,burkholderia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2016-12-28,5919683_28.12.2016_GN.docx,R,R,R,R,,R,R,R,R,,R,,R,R,I,,R,R,,,,R,R,R,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1384077647124378309,GN_622,6009197,2017-06-26,2017-06-26,male,dog,ear exudate,unknown,GN,pseudomonas aeruginosa,pseudomonas,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-06-30,6009197_30.06.2017_GN.docx,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-6330510691410868284,GN_1431,6112607,2018-11-08,2018-11-08,male,cat,urine,cystocentesis,GN,pseudomonas aeruginosa,pseudomonas,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-11-14,6112607_14.11.2018_GN.docx,S,,,,,,,,,,I,,S,S,S,,,S,,,,,S,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
-290405903945434539,GN_215,5919424,2016-12-22,2016-12-22,female,dog,ear canal,unknown,GN,pseudomonas aeruginosa,pseudomonas,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2016-12-28,5919424_28.12.2016_GN.docx,S,R,R,R,,,R,R,R,,,,R,S,R,,R,S,,,,R,R,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-3947789087179646941,GN_1088,5903552,2018-05-25,2018-05-25,female,dog,urine,cystocentesis,GN,proteus mirabilis,proteus,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-06-01,5903552_01.06.2018_GN.docx,S,R,R,I,,S,S,S,R,,R,,R,,R,,R,S,,,,R,I,R,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5342977602765302790,GN_3203,6314848,2020-12-08,2020-12-08,female,cat,other,unknown,GN,neisseria animaloris,neisseria,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-12-15,6314848_15.12.2020_GN_2020.docx,R,S,S,S,S,,S,,S,S,,-,S,,S,,S,,,,,S,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
3578305952894773887,GN_2186,6210031,2019-08-01,2019-08-01,male,dog,other,unknown,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-08-07,6210031_07.08.2019_GN.docx,S,R,R,R,,S,S,S,R,,R,-,R,S,R,,S,R,,,,R,I,R,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-5811759982095411750,GN_1477,รพส.เจริญสุข,2018-10-28,2018-10-30,unknown,dog,other,unknown,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-11-07,รพส.เจริญสุข(Mario)_07.11.2018_GN.docx,S,R,R,R,,S,S,S,I,,R,-,S,S,R,,S,R,,,,S,S,S,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7232602211779457071,GN_2992,6302906,2020-09-02,2020-09-02,male,dog,urine,catheterization,GN,pseudomonas aeruginosa,pseudomonas,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-09-09,6302906_09.09.2020_GN_2020.docx,S,,,,,,,,,,I,,S,S,S,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
-2061165496963332233,GN_3100,6310448,2020-09-10,2020-09-10,female,dog,ub mucosa,unknown,GN,enterobacter cloacae,enterobacter,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-09-15,6310448_15.09.2020_GN_2020.docx,S,R,,R,R,I,R,S,S,S,S,,S,S,S,S,S,,,S,,R,,S,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-6619209834888218892,GN_2742,6113803,2020-05-07,2020-05-07,male,dog,urine,catheterization,GN,klebsiella pneumoniae,klebsiella,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-05-14,6113803_14.05.2020_GN_2020.docx,S,R,R,R,R,R,R,I,I,R,R,-,S,S,R,I,I,,,R,,R,,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
5097576926064664533,GN_3379,6212492,2020-06-22,2020-06-22,male,dog,urine,cystocentesis,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-06-24,6212492_25.06.2020_GN_2020.docx,S,R,R,S,R,S,S,S,I,R,R,-,R,S,R,S,S,,,R,,R,,R,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-3722892039088810615,GN_75,5900283,2016-10-07,2016-10-07,female,dog,urine,catheterization,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2016-10-13,5900283_13.10.2016_GN.docx,S,R,R,R,,R,S,S,S,,R,-,S,S,R,,S,R,,,,S,S,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1970849390539556119,GN_893,6008399,2018-02-12,2018-02-12,female,dog,urine,unknown,GN,proteus mirabilis,proteus,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-02-15,6008399_15.02.2018_GN.docx,S,R,R,I,,S,S,S,R,,R,,R,,R,,R,R,,,,R,R,S,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4734344552100879806,GN_3064,6308981,2020-07-30,2020-07-30,male,dog,urine,catheterization,GN,klebsiella pneumoniae,klebsiella,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-08-05,6308981_05.08.2020_GN_2020.docx,S,R,R,R,R,R,R,R,S,R,R,-,S,S,R,S,I,,,R,,R,,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
-7099361109680194187,GN_533,6004388,2017-03-19,2017-03-19,female,dog,abdominal fluid,unknown,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-03-24,6004388_24.03.2017_GN.docx,S,R,R,R,,S,S,S,S,,R,-,R,S,R,,S,R,,,,R,R,S,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5501498882412340295,GN_3362,5909537,2020-06-09,2020-06-09,male,dog,urine,catheterization,GN,klebsiella pneumoniae,klebsiella,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-06-12,5909537_12.06.2020_GN_2020.docx,S,R,R,R,R,R,R,R,S,R,R,-,S,S,R,I,R,,,R,,R,,S,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
6781250480722053808,GN_597,6007791,2017-07-04,2017-07-04,female,dog,other,unknown,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-07-13,6007791_13.07.2017_GN.docx,S,S,R,S,,S,S,S,S,,R,-,S,S,R,,S,R,,,,R,S,R,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8070855580281686927,GN_534,6004424,2017-03-21,2017-03-21,male,cat,abdominal cavity,unknown,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-03-27,6004424_27.03.2017_GN.docx,S,R,R,S,,S,S,S,S,,S,-,S,S,S,,S,R,,,,S,S,R,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6378551330909465936,GN_2897,6018256,2020-09-16,2020-09-16,male,dog,urine,catheterization,GN,proteus mirabilis,proteus,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-09-21,6018256_21.09.2020_GN_2020.docx,S,R,R,S,S,S,S,S,S,R,S,,R,I,S,S,R,,,S,,R,,R,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
