id,hn,species,submitted_sample,collect_method,vitek_id,bact_species_1,bact_family,amikacin,amoxicillin/clavulanic acid,ampicillin,cefalexin,cefalotin,cefovecin,cefpodoxime,ceftiofur,chloramphenicol,doxycycline,enrofloxacin,esbl,gentamicin,imipenem,marbofloxacin,neomycin,nitrofurantoin,piperacillin,polymyxin b,pradofloxacin,rifampin,tetracycline,tobramycin,trimethoprim/sulfamethoxazole,answer0,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,ans_trimethoprim/sulfamethoxazole,ans_marbofloxacin,ans_cefovecin,ans_amoxicillin/clavulanic acid,ans_amikacin,ans_imipenem,ans_enrofloxacin,ans_cefalexin,ans_nitrofurantoin,ans_gentamicin,ans_doxycycline,ans_cefixime,ans_fosfomycin,ans_ceftriaxone,ans_piperacillin,ans_pradofloxacin,ans_metronidazole,ans_cefazolin,ans_colistin (polymyxin e),ans_tetracycline,ans_clindamycin,filename
10,5506054,dog,Urine,-,GN,unknown,unknown,S,R,R,R,,R,R,R,S,,R,+,R,R,R,,S,R,,,,R,I,R,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
11,5508293,dog,UB mucosa,,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
12,5508665,dog,หนองในหูข้างซ้าย,-,GN,unknown,unknown,S,S,R,S,,S,S,S,S,,R,-,R,S,R,,S,R,,,,R,I,R,cefovecin,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
13,5512195,cat,Urine,-,GN,unknown,unknown,S,R,R,R,,S,S,S,R,,S,,S,S,S,,R,R,,,,R,S,R,marbofloxacin,cefovecin,,,,,,,,,,,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
14,5513817,dog,purelent exudate จากแผลข้าง scrotal sac (partial urethral rupture),unk,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,S,-,I,S,S,,R,S,S,,,R,S,R,enrofloxacin,marbofloxacin,amikacin,imipenem,,,,,,,,,,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
15,5513817,dog,Urine,Cystocentesis,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,R,-,R,S,R,,R,S,S,,,R,R,R,enrofloxacin,marbofloxacin,amikacin,imipenem,,,,,,,,,,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
16,5514579,dog,Urine,Cystocentesis,GN,escherichia coli,escherichia,S,I,R,R,,S,S,S,S,,S,-,S,S,S,,S,R,,,,R,S,S,cefovecin,enrofloxacin,marbofloxacin,,,,,,,,,,,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
17,5517534,dog,Abdominal Fluid,-,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,R,-,R,S,R,,I,R,,,,R,I,,amikacin,fosfomycin,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,
18,5519185,dog,vaginal discharge,-,GN,unknown,unknown,S,R,R,R,,R,R,R,I,,R,,S,R,R,,R,R,,,,R,R,R,gentamicin,fosfomycin,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,
19,5521789,cat,urine,catheterization,GN,unknown,unknown,S,S,S,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
20,5600141,dog,Urine,Catheterization,GN,escherichia coli,escherichia,S,S,R,R,,S,S,S,S,,R,-,S,S,R,,S,R,,,,R,S,R,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
21,5607332,dog,Rt ear otitis externa and ear mass (rod infection),,GN,proteus mirabilis,proteus,S,I,R,R,,S,S,S,R,,R,,R,,R,,R,S,,,,R,I,R,cefovecin,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
22,5608743,cat,wound,,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,S,,S,I,S,,R,S,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
23,5608743,cat,wound,,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,S,,S,I,S,,R,S,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
24,5609207,dog,Nasal discharge from Lt nostril,,GN,escherichia coli,escherichia,S,R,R,R,,S,S,S,R,,I,-,S,S,S,,S,S,,,,S,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
25,5611443,dog,Prostatic abscess,,GN,proteus hauseri,proteus,S,S,R,R,,S,S,S,S,,S,,S,,S,,R,S,,,,S,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
26,5612372,cat,Fluid in thorax,,GN,serratia marcescens,serratia,S,R,,R,,S,,S,S,,S,,S,S,S,,R,S,,,,R,S,S,enrofloxacin,,,,,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
27,5612774,other,Anal saculitis (Rt),,GN,escherichia coli,escherichia,S,R,R,R,,S,S,S,S,,R,-,S,S,R,,S,S,,,,R,S,R,cefovecin,amikacin,,,,,,,,,,,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
28,5617337,cat,urine,-,GN,unknown,unknown,,,,,,,,,R,,S,,S,,S,,R,,S,,,R,S,,enrofloxacin,,,,,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
29,5700330,dog,หนองจากแผล,,GN,escherichia coli,escherichia,S,S,R,R,,S,S,S,R,,R,-,R,S,R,,S,R,,,,R,S,R,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
30,5700401,dog,Urine,,GN,escherichia coli,escherichia,S,R,R,R,,R,R,R,S,,I,+,S,S,S,,S,R,,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
31,5701789,dog,Urine,Catheterization,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,R,R,R,R,,R,R,R,R,,R,+,R,S,R,,R,R,,,,R,R,I,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
32,5703095,dog,Urine,Cystocentesis,GN,escherichia coli,escherichia,S,S,R,R,,S,S,S,I,,R,-,S,S,R,,S,R,,,,R,S,S,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
33,5703634,cat,right nasal discharge,unk,GN,unknown,unknown,,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,S,,I,S,S,S,amoxicillin/clavulanic acid,cefovecin,cefalexin,,,,,,,,,,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
34,5703634,cat,left nasal discharge,unk,GN,unknown,unknown,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,I,R,,,,S,S,S,amoxicillin/clavulanic acid,cefovecin,cefalexin,,,,,,,,,,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
35,5704362,dog,UB mucosa,-,GN,unknown,unknown,,,,,,,,,R,,R,,R,,R,,R,,,,,R,I,R,cefovecin,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
36,5704957,cat,Laryngeal swab,-,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,S,,I,R,S,,R,S,S,,,R,S,R,enrofloxacin,,,,,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
37,5706519,dog,Left ear wax,-,GN,unknown,unknown,S,S,S,R,,S,S,S,S,,S,,R,,S,,R,S,,,,R,I,S,enrofloxacin,cefovecin,,,,,,,,,,,,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
38,5709405,cat,Abdominal fluid,,GN,enterobacter cloacae,enterobacter,S,R,,R,,I,S,S,R,,S,,S,S,S,,S,S,,,,R,S,S,enrofloxacin,amikacin,,,,,,,,,,,,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
39,5713382,dog,Urine,Cystocentesis,GN,escherichia coli,escherichia,S,S,,S,,S,S,S,S,,R,-,S,S,R,,S,S,,,,S,S,S,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
40,5713382,dog,UB mucosa,,GN,escherichia coli,escherichia,S,S,,R,,S,S,S,S,,R,-,S,S,R,,S,S,,,,S,S,S,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
41,5713911,dog,Urine,Cystocentesis,GN,unknown,unknown,S,I,R,S,,S,S,S,R,,R,-,R,,R,,R,S,,,,R,I,R,cefovecin,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
42,5800357,dog,Mass at epiglottis,-,GN,unknown,unknown,R,R,R,R,,R,R,R,R,,R,-,R,I,R,,R,S,S,,,R,R,R,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
43,5802620,other,Lt. Nasal,,GN,pseudomonas alcaligenes,pseudomonas,S,S,S,R,,R,R,I,R,,S,,S,S,S,,R,S,,,,S,S,S,amoxicillin/clavulanic acid,enrofloxacin,marbofloxacin,,,,,,,,,,,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
44,5802932,dog,Fistular tract,,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,I,R,R,R,,I,,S,S,S,,R,S,,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
45,5803629,dog,Abdominal fluid,,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,S,R,R,R,,R,R,R,S,,R,+,R,S,R,,I,R,,,,R,R,R,amikacin,imipenem,,,,,,,,,,,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
46,5803930,dog,Urine,cystocentesis,GN,unknown,unknown,S,I,R,S,,S,S,S,S,,R,,S,,R,,R,S,,,,R,S,R,cefovecin,amikacin,,,,,,,,,,,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
47,5803940,dog,Urine,,GN,proteus mirabilis,proteus,S,R,R,R,,R,R,R,R,,R,,R,,R,,R,R,,,,R,I,R,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
48,5804251,dog,Nasal discharge (Flushing),,GN,pseudomonas aeruginosa,pseudomonas,R,R,R,R,,R,R,R,R,,R,,R,S,R,,R,R,S,,,R,R,R,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
49,5804874,dog,Prostatic abscess,,GN,escherichia coli,escherichia,S,S,,R,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
50,5807761,dog,Purulent ที่ขาหนีบ กิน marbo และทา amikacin ไม่ดีขึ้น,,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,R,R,R,R,,R,R,R,S,,I,-,R,R,S,,S,R,,,,S,R,R,doxycycline,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,
51,5811959,dog,Urine,,GN,proteus mirabilis,proteus,S,S,R,R,,R,R,R,R,,R,,R,,S,,R,R,,,,R,I,R,amoxicillin/clavulanic acid,marbofloxacin,,,,,,,,,,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
52,5812484,dog,Urine,,GN,pseudomonas aeruginosa,pseudomonas,,,,,,,,,R,,I,,R,,S,,R,,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
53,5813347,dog,Ear swab,-,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,I,-,I,S,S,,R,S,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
54,5813536,dog,Urine,,GN,proteus mirabilis,proteus,S,S,R,R,,S,S,S,R,,R,,S,,S,,R,S,,,,R,S,R,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
55,5817236,dog,abscess,,GN,escherichia coli,escherichia,S,R,R,R,,R,R,R,R,,R,+,S,S,R,,I,R,,,,R,S,R,amikacin,imipenem,nitrofurantoin,,,,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
56,5817236,dog,Urine,Catheterization,GN,escherichia coli,escherichia,S,R,R,R,,R,R,R,I,,R,+,S,S,R,,S,R,,,,S,S,S,amikacin,imipenem,nitrofurantoin,,,,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
57,5818352,cat,Wound discharge,,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,I,S,S,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
58,5818367,dog,Urine,,GN,proteus mirabilis,proteus,S,R,R,R,,R,R,R,R,,R,,R,,R,,R,R,,,,R,I,R,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
59,5900283,dog,Urine,Catheterization,GN,escherichia coli,escherichia,S,R,R,R,,R,S,S,S,,R,-,S,S,R,,S,R,,,,S,S,R,amikacin,nitrofurantoin,imipenem,,,,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
60,5900310,dog,Anal secretion/ anal chronic sacculitis/ bloody purulent secretion,-,GN,escherichia coli,escherichia,S,R,R,R,,R,R,R,R,,R,+,R,S,R,,S,R,,,,R,I,S,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
61,5900329,dog,urine,-,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,S,R,R,R,,R,R,R,R,,R,+,R,S,R,,I,R,,,,R,R,R,amikacin,imipenem,,,,,,,,,,,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
62,5900374,dog,Urine,Cystocentesis,GN,klebsiella pneumoniae ssp ozaenae,klebsiella,S,R,R,R,,R,R,R,I,,R,-,I,S,R,,I,R,,,,R,R,R,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
63,5900384,dog,Urine,-,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,S,-,S,S,S,,I,R,,,,R,S,S,trimethoprim/sulfamethoxazole,enrofloxacin,amikacin,,,,,,,,,,,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
64,5900514,dog,Prostatic abscess,,GN,escherichia coli,escherichia,S,S,R,R,,R,R,R,R,,I,+,R,S,S,,S,R,,,,R,R,R,amoxicillin/clavulanic acid,marbofloxacin,,,,,,,,,,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
65,5900619,dog,urine,catheterization,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,S,-,S,S,S,,R,S,S,,,R,S,R,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
66,5900713,dog,urine,cystocentesis,GN,escherichia coli,escherichia,S,S,R,R,,R,R,R,S,,R,+,S,S,R,,S,R,,,,R,S,R,amoxicillin/clavulanic acid,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
67,5900715,dog,Urine,-,GN,unknown,unknown,S,R,R,R,,R,R,S,R,,R,-,R,R,R,,R,R,,,,R,S,R,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
68,5901203,dog,Abscess,,GN,escherichia coli,escherichia,S,R,R,R,,S,S,S,R,,R,-,R,S,R,,S,I,,,,R,S,S,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
69,5901732,dog,Renal calculi,,GN,escherichia coli,escherichia,S,R,R,R,,R,R,S,S,,I,-,R,S,S,,S,R,,,,R,I,S,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
70,5902297,dog,Papulocrustous lesion,-,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
71,5902342,dog,แผลฝี,-,GN,unknown,unknown,R,I,R,S,,S,S,S,S,,R,-,R,S,R,,S,R,,,,R,R,R,cefovecin,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
72,5903415,cat,wound,-,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
73,5903701,dog,Urine,Catheterization,GN,citrobacter freundii,citrobacter,R,R,,R,,R,R,R,S,,R,,R,S,I,,S,R,,,,R,R,R,nitrofurantoin,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
74,5904275,dog,Urine,,GN,proteus mirabilis,proteus,S,S,R,R,,S,S,S,R,,R,,S,,R,,R,R,,,,R,S,R,cefovecin,amikacin,,,,,,,,,,,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
75,5904550,dog,Purulent exudate from skin,,GN,acinetobacter baumannii,acinetobacter,,,,,,,,,R,,S,,S,,S,,R,,S,,I,S,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
76,5905388,dog,Abscess at Lt HL,,GN,acinetobacter lwoffii,acinetobacter,S,S,S,S,,S,S,S,S,,,,S,S,S,,I,S,,,S,S,S,S,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
77,5905994,dog,wound,unk,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,S,,,R,S,R,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
78,5906328,dog,Ear exudate // LT,,GN,proteus mirabilis,proteus,S,S,I,R,,R,S,S,S,,I,,S,,S,,R,S,,,,R,S,S,amoxicillin/clavulanic acid,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
79,5906972,dog,Urine,cystocentesis,GN,unknown,unknown,,,,,,,,,R,,R,,S,,R,,R,,,,,R,I,R,cefovecin,gentamicin,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,
80,5907687,dog,purulent discharge from right ear,-,GN,unknown,unknown,S,S,R,S,,S,S,S,R,,R,,R,,R,,R,I,,,,R,I,R,amikacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
81,5907687,dog,purulent discharge from left ear,-,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,I,+,R,S,S,,I,R,,,,R,I,R,amikacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
82,5907687,dog,Right ear canal,,GN,pseudomonas aeruginosa,pseudomonas,S,R,R,R,,R,R,R,R,,I,,R,I,S,,R,S,S,,,R,S,R,amikacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
83,5908246,dog,Urine,cystocentesis,GN,unknown,unknown,S,R,R,R,,R,R,R,S,,R,+,R,R,R,,S,R,,,,S,I,S,amikacin,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
84,5908822,cat,nasal discharge,-,GN,unknown,unknown,S,S,S,S,,S,S,S,,,S,,S,S,S,,,S,,,,,S,,amoxicillin/clavulanic acid,cefalexin,,,,,,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
85,5908836,dog,Lt. nasal cavity mucosa,,GN,moraxella group,moraxella,,,,,,,,,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
86,5908836,dog,Lt. nasal cavity mucosa,,GN,moraxella group,moraxella,,,,,,,,,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
87,5909163,cat,Bite wound,,GN,burkholderia cepacia,burkholderia,R,R,R,R,,R,R,R,R,,R,,R,R,S,,R,S,,,,R,R,S,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
88,5909432,dog,Urinary bladder mucosa,-,GN,unknown,unknown,S,R,R,R,,R,R,R,R,,R,-,R,S,R,,R,S,S,,,R,R,,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
89,5909558,dog,Prostate gland abscess,-,GN,unknown,unknown,R,R,R,R,,R,R,R,R,,R,-,R,S,R,,R,R,,,,R,R,R,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
